470_2005_001848 -                                                       (1) may not discriminate between that company |||or affiliate and||| any other entity in the provision or procurement of goods, services, facilities, and information, o
490_2005_004773 - oods.—The term “household goods”, as used in connection with transportation, means personal effects |||and property used or||| to be used in a dwelling, when a part of the equipment or supply of such dwelling, and similar prop
420_2005_072196 - ices contributed by volunteers to carry out such activities (at a rate determined by the Director), |||and the value of any donated material or||| building and the value of any lease on a building.
150_2005_024541 -  affiliated with any university, or other nonprofit institution, or group thereof, that applies for |||and is awarded a grant or||| enters into a cooperative agreement under this section. The objective of the Centers is to enhance 
420_2005_113645 - fter October 24, 1992, the Secretary shall solicit proposals to demonstrate electric motor vehicles |||and associated equipment in one or||| more eligible metropolitan areas. The Secretary may make additional solicitations for proposals if 
220_2005_003483 - That the courts of first instance of the Republic of the Philippines are given jurisdiction to make |||and enter all such rules as to notice or||| otherwise, and all such orders and decrees, and to issue such process as may be necessary and prope
260_2005_067030 -                                                        The Secretary is authorized to designate one |||or more depositaries in each State for the deposit and||| safe-keeping of the money collected by virtue of the internal revenue laws; and the receipt of the 
200_2005_026354 -                  The Secretary shall carry out paragraph (1) directly or through grants, contracts, |||or cooperative agreements with public and||| private entities and individuals or through agreements with other Federal agencies.
150_2005_004310 - n act or omission the person knew or should have known would contribute to such violation, to cease |||and desist from committing or||| causing such violation and any future violation of the same provision, rule, or regulation. Such or
360_2005_001007 -                                                       (5) to assist, in any way in their power, men |||and women who served and were wounded or||| incapacitated in World War I; and
420_2005_112456 -  means an individual who is neither attending any school nor subject to a compulsory attendance law |||and who has not received a secondary school diploma or||| a certificate of equivalency for such diploma.
050_2005_011191 - ovide health insurance coverage for a child who meets the requirements of {ref}may change to a self |||and family enrollment in the same or||| another health benefits plan under this chapter. If such employee fails to change to a self and fam
470_2005_000024 - essel, the master of such vessel shall, unless some other person is shown to have been in charge of |||and navigating such vessel or||| boat, be deemed to have been in charge of and navigating the same, and be liable to be punished acc
290_2005_010496 - s actively seeking capital or business which, if obtained, would have enabled the employer to avoid |||or postpone the shutdown and||| the employer reasonably and in good faith believed that giving the notice required would have precl
070_2005_005677 - h marketing year begins prior to December 31, 1937, or prior to July 31, 1936, in the case of rice, |||and shall remain at such rate until altered or||| terminated pursuant to this section or terminated pursuant to {ref}.
070_2005_004744 - lending for use in fairs, shows, and other events, or otherwise; the loan, sale, or hire of animals |||or animal products through such arrangements and||| subject to such fees as are deemed necessary by the Secretary to accomplish the purposes of this se
280_2005_001881 - Bureau of Investigation, and, when appropriate, the Secretary of State shall assist the prosecuting |||and law enforcement officials of a State or||| political subdivision to the fullest extent possible in securing from abroad such evidence or other
500_2005_000441 - cretary of the department in which the Coast Guard is operating may prescribe or issue as necessary |||or appropriate to carry out the purposes and||| provisions of sections 196 to 198 of this title, and in accordance with the provisions of subsectio
120_2005_019923 - n {ref}) issued by the institution. The Farm Credit Administration Board shall have exclusive power |||and jurisdiction to appoint a conservator or||| receiver, and such receiver or conservator, after the 5-year period beginning on January 6, 1988, s
260_2005_020521 - retirement benefits were the subject of good faith bargaining between such employee representatives |||and such employer or||| employers,
180_2005_006324 - e of the commission of any treason against them, conceals and does not, as soon as may be, disclose |||and make known the same to the President or||| to some judge of the United States, or to the governor or to some judge or justice of a particular 
080_2005_006282 - social service or targeted assistance program referred to in subparagraph (A)(ii) which such agency |||or service determines to be available and||| appropriate,
120_2005_012825 -                                               (11) pursue to final disposition by way of compromise |||or otherwise claims both for and||| against the United States (other than tort claims, claims involving administrative expenses, and cl
390_2005_000432 - eation of reserve, sinking, and other funds which may be similarly pledged and used, to such extent |||and in such manner as it deems necessary or||| desirable. The Postal Service is authorized to enter into binding covenants with the holders of suc
070_2005_004919 - on from whom any produce was received, concerning the handling, condition, quality, quantity, sale, |||or disposition thereof or who shall knowingly and||| with intent to defraud fail truly and correctly to account therefor shall be guilty of a misdemeano
420_2005_097276 - vels to the short-term and long-term health effects associated with identified hazardous substances |||and any available recommended exposure or||| tolerance limits for such hazardous substances, and the comparison of existing morbidity and mortal
080_2005_001969 - to enter the United States temporarily and solely for the purpose of performing as such a performer |||or entertainer or as an integral and||| essential part of a performance.
490_2005_015982 -                    (3) allow access to or copying of records, make reports and provide information, |||and allow entry or||| inspection required under {ref}–(d) of this title; and
280_2005_000991 - t other than his own, in the case of any other retired judge of the United States. Such designation |||and assignment to a court of appeals or||| district court shall be made upon the presentation of a certificate of necessity by the chief judge
160_2005_017087 -  extent that it does not unreasonably diminish the long-term scenic and natural values of the area, |||or the multiple use and||| sustained yield capability of the land.
200_2005_006417 -  to modification, with respect to rate of interest, time of payment of any installment of principal |||and interest or||| any portion thereof, or any other provision of any note or other instrument evidencing a loan which
330_2005_007102 - n and cooperation in support of the policy and purposes of this chapter and may formulate, present, |||or support specific proposals in the United Nations and||| other competent international organizations for the development of appropriate international rules 
150_2005_011167 -                                                                       (1) in direct obligations of, |||or obligations guaranteed as to principal and||| interest by, the United States;
190_2005_011362 - ough 8703.90, or subheading 8704.21 or 8704.31, exported from Canada directly to the United States, |||and entered on or||| after January 1, 1989, and before the date of entry into force of the Agreement between the United 
160_2005_018371 - ovisions of subchapter IV of this chapter, every licensee for nonpower use shall keep such accounts |||and file such annual and other periodic or||| special reports concerning the removal, alteration, nonpower use, or other disposition of any proje
160_2005_029213 - pplicable and not inconsistent with the provisions of this chapter; except that all powers, rights, |||and duties conferred or||| imposed by the customs laws upon any officer or employee of the Customs Service may, for the purpos
500_2005_003992 - vision of law, the President, through the Attorney General, may authorize the use of a pen register |||or trap and||| trace device without a court order under this subchapter to acquire foreign intelligence informatio
450_2005_002174 - task, function, or operation, or requiring the Corporation to pay protective benefits to employees, |||and no State in the Region may adopt or||| continue in force any such law, rule, regulation, order, or standard with respect to any railroad i
350_2005_000865 - eding under this chapter, the patent owner will be permitted to propose any amendment to his patent |||and a new claim or||| claims thereto, in order to distinguish the invention as claimed from the prior art cited under the
420_2005_054152 - e Secretary is authorized to make loans to private nonprofit corporations and consumer cooperatives |||and Indian tribes to provide rental or||| cooperative housing and related facilities for elderly or handicapped persons or families of low or
480_2005_001407 - f the Marshall Islands from acting in accordance with its constitutional processes to resolve title |||and ownership claims with respect to such lands or||| from taking substitute or additional measures to meet the needs of the people of Bikini with their 
420_2005_054410 - urance thereof. The Secretary is authorized to make agreements with respect to servicing loans held |||or insured by him under this section and||| purchasing such insured loans on such terms and conditions as he may prescribe.
360_2005_001155 -                                  (2) The board of nominations shall nominate United States citizens |||or residents to be honored by the corporation and||| recommend those persons to the board of trustees for consideration as provided in the bylaws.
180_2005_002752 - l Service, as the case may be, is authorized to retain property forfeited pursuant to this section, |||or to transfer such property on such terms and||| conditions as he may determine—
420_2005_018026 -                   (vii) any voluntary agricultural resource management plan or voluntary whole farm |||or whole ranch management plan developed and||| implemented under a process established by the Secretary of Agriculture; and
420_2005_010490 -                           (1) The term “financial interest” includes the receipt of consulting fees |||or honoraria and||| the ownership of stock or equity.
250_2005_011862 - on April 28, 1988, was a contract school under title XI of the Education Amendments of 1978 [{ref}] |||and the tribe or||| tribal organization operating the school submits to the Secretary a written notice of election to r
490_2005_004409 -            (c)(1) For purposes of this section, the Board may determine that the public convenience |||and necessity require or||| permit the sale of a railroad line if the Board determines, after a hearing on the record, that—
220_2005_008477 -                   Subsection (e) of this section does not apply to broken, worn or unupgraded items |||or their equivalent which Pakistan paid for and||| took possession of prior to October 1, 1990 and which the Government of Pakistan sent to the United
120_2005_019863 -                                                                            (ii) who are experienced |||or knowledgeable in corporate and||| public finance, agricultural economics, and financial reporting and disclosure.
020_2005_000456 - ment, shall be deposited in and made a part of such Appropriation Account and under such line item, |||and shall be available for expenditure or||| obligation, or both, in like manner and subject to the same limitations as any other moneys in such
390_2005_000769 - prohibited or restricted under any quarantine referred to in subsection (a), is nonmailable matter, |||and may not be accepted by the Postal Service or||| conveyed in the mails, if the matter involved is tendered for transmission through the mails from s
480_2005_000757 -  of seized property in a criminal proceeding, not made after the defendant has been put in jeopardy |||and before the verdict or finding on an indictment or||| information, if the prosecution certifies to the trial court that the appeal is not taken for purpo
420_2005_077860 - and other users by eliminating their dependence on alcohol or other addictive or nonaddictive drugs |||or by controlling their dependence and||| susceptibility to addiction or use;
120_2005_020177 - fe and credit disability insurance appropriate to protect the loan commitment in the event of death |||or disability of the debtors and||| other insurance necessary to protect the member's farm or aquatic unit, but limited to, hail and mu
070_2005_011769 - cept in cases of bona fide food aid) sell in foreign markets at prices below domestic market prices |||or prices below their full costs of acquiring and||| delivering agricultural products to the foreign markets; and
460_2005_000673 -           (vi) after January 1, 2000, if the vessel is 30 years old or older and has a single hull, |||or is 35 years old or older and||| has a double bottom or double sides;
220_2005_011800 - ription of how such country or organization intends to use such defense articles, defense services, |||or design and||| construction services;
170_2005_000248 - ll be construed to limit the reproduction and distribution by lending of a limited number of copies |||and excerpts by a library or||| archives of an audiovisual news program, subject to clauses (1), (2), and (3) of subsection (a); or
470_2005_005120 -  defense, may, during a period ending not later than six months after the termination of such state |||or threat of war and||| not later than such earlier date as the Congress by concurrent resolution may designate, (1) suspen
420_2005_103036 - ) inform a victim of any restitution or other relief to which the victim may be entitled under this |||or any other law and||| manner in which such relief may be obtained;
380_2005_005559 - , is listed, pursuant to {ref} and regulations issued thereunder, by the Secretary concerned in one |||or more of the following categories and||| has been so listed for a total of more than ninety days: (i) missing in action, (ii) captured in li
260_2005_057735 - ury, access to employer identification numbers obtained pursuant to this paragraph only to officers |||and employees of the United States or||| authorized persons whose duties or responsibilities require access for the administration of the Fe
100_2005_011462 -             (E) a competitive selection of research proposals resulting from a general solicitation |||and peer review or||| scientific review (as appropriate) solicited pursuant to section 9 of the Small Business Act ({ref}
500_2005_000098 -  of any department or agency of the United States, (2) is determined by the head of such department |||or agency to be excess to its needs and||| responsibilities, and (3) is required for the stockpile shall be transferred to the stockpile. Any 
420_2005_113045 - characteristics or the volume of a hazardous substance, pollutant, or contaminant through a process |||or activity which itself is not integral to and||| necessary for the production of a product or the providing of a service.
220_2005_003067 - man suffering, when such solicitation or collection of funds and contributions is made on behalf of |||and for use by any person or||| organization which is not acting for or on behalf of any such government, but all such solicitation
300_2005_003248 -                                 (13) design, locate, construct, operate, maintain, enlarge, modify, |||and remove or||| abandon, in accordance with the standards and criteria developed pursuant to subsection (f) of this
