420_2019_127763 -                                                        (2) No license shall be issued, transferred, |||or renewed under this chapter unless||| the applicant, licensee or transferee first agrees in writing that (A) there will be no substantial
330_2019_008793 - ump into ocean waters, or to transport for the purposes of dumping into ocean waters, sewage sludge |||or industrial waste, unless||| that person was authorized by a permit issued under {ref} or by a court order to dump into ocean wa
180_2019_010002 - or a felony, that the defendant also abide by at least one condition set forth in subsection (b)(2) |||or (b)(12), unless||| the court has imposed a fine under this chapter, or unless the court finds on the record that extra
200_2019_017575 - es or boards administering the programs covered by the application shall not require the submission |||or amendment of such application unless||| required by changes in Federal or State law or by other significant change in the circumstances aff
420_2019_120619 -                                                           No regulations regarding the size, shape, |||or labeling of a product may be promulgated, unless||| the Administrator determines such regulations to be useful in meeting any national ambient air qual
160_2019_028987 - ncil determination that regulations are not necessary pursuant to this paragraph, shall be accepted |||and issued as proposed regulations by the Secretary unless||| the Secretary finds that the Council's action fails to fulfill the purposes and policies of this ch
380_2019_004895 - time of the death of such veteran, or because of any contribution from any source toward the burial |||and funeral expenses (including transportation) unless||| the amount of expenses incurred is covered by the amount actually paid therefor by the United State
160_2019_008573 - nd and water areas for recreation and fish and wildlife enhancement purposes and operate, maintain, |||and replace facilities provided for those purposes unless||| such areas or facilities are included or proposed for inclusion within a national recreation area, 
120_2019_006245 -  and prepared and certified to by an independent public accountant or a certified public accountant |||and certified to by an officer of the mortgagor, unless||| the Secretary has approved an extension of the 60-day period in writing. The Secretary shall approv
420_2019_081689 -                                                                               No loan shall be made |||or insured under subsection (a) or (b) unless||| the Secretary finds that the construction involved will be undertaken in an economical manner and w
160_2019_027626 -  not issue a permit for research which involves the lethal taking of a marine mammal from a species |||or stock that is depleted, unless||| the Secretary determines that the results of such research will directly benefit that species or st
490_2019_005704 - line may withdraw his offer within 10 days of the Board's decision. In such a case, the abandonment |||or discontinuance may be carried out immediately, unless||| other offers are being considered pursuant to paragraph (3) of this subsection.
420_2019_140529 - nd {ref} for a person to purchase or lease a remanufactured rail passenger car for use in intercity |||or commuter rail transportation unless||| such car was remanufactured in accordance with paragraph (1).
260_2019_066271 - f fuel used in any automobile bus while engaged in furnishing transportation which is not scheduled |||and not along regular routes unless||| the seating capacity of such bus is at least 20 adults (not including the driver).
420_2019_089621 -  imposes a substantial burden on the religious exercise of a person, including a religious assembly |||or institution, unless||| the government demonstrates that imposition of the burden on that person, assembly, or institution—
180_2019_002423 -  in violation of any State law or any published ordinance applicable at the place of sale, delivery |||or other disposition, unless||| the licensee knows or has reasonable cause to believe that the purchase or possession would not be 
190_2019_003872 - s title shall apply to seizures of any property effected by customs officers under any law enforced |||or administered by the Customs Service unless||| such law specifies different procedures.
220_2019_002082 - r Article VIII of the Articles of Agreement of the Bank; (f) make any loan to the Fund or the Bank; |||or (g) approve any disposition of Fund gold, unless||| the Secretary certifies to the Congress that such disposition is necessary for the Fund to restitut
070_2019_029278 - person to cease and desist from continuing such violation or violations. No penalty may be assessed |||or cease and desist order issued unless||| such person is given notice and opportunity for a hearing before the Secretary with respect to such
110_2019_001354 - rsonal property as to which a creditor has an allowed claim for the purchase price secured in whole |||or in part by an interest in such personal property unless||| the debtor, not later than 45 days after the first meeting of creditors under {ref}, either—
120_2019_025397 -                                                                               (1) shall be returned |||and actually presented to the grand jury unless||| the volume of such records makes such return and actual presentation impractical in which case the 
510_2019_000124 - s section referred to as the "Director") to have significant utility in the conduct of aeronautical |||and space activities unless||| the applicant files with the Director, with the application or within 30 days after request therefo
180_2019_009955 - o is convicted of a Federal offense that is a serious violent felony (as defined in subsection (c)) |||or a violation of {ref}shall, unless||| the sentence of death is imposed, be sentenced to imprisonment for life, if—
250_2019_007298 - ing and acknowledged before a notary public (or other official authorized to make acknowledgments), |||and shall be approved by the Secretary unless||| the Secretary has reason to believe that the consent was obtained as a result of fraud or undue inf
210_2019_015279 - rolled substances, identifying by the registration number assigned under this subchapter the person |||or establishment (unless||| exempt from registration under {ref}) to whom such sale, delivery, or other disposal was made.
110_2019_003427 -          (3) if the plan classifies claims and interests, provide the same treatment for each claim |||or interest within a particular class unless||| the holder of a particular claim or interest agrees to less favorable treatment;
330_2019_007816 - under this subchapter shall be deemed to be permits issued under {ref}, and shall continue in force |||and effect for their term unless||| revoked, modified, or suspended in accordance with the provisions of this chapter.
300_2019_002138 - earch, demonstrations, or experiments shall be carried out, contracted for, sponsored, cosponsored, |||or authorized under authority of this chapter, unless||| all information, uses, products, processes, patents, and other developments resulting from such res
150_2019_006563 -  of subparagraph (A), the Commission shall consider all feasible alternatives to the proposed rule, |||and it shall not adopt any such rule unless||| the Commission makes an explicit finding that the rule is the most practicable method for achieving
300_2019_004364 -                                          (1) No United States citizen may engage in any exploration |||or commercial recovery unless||| authorized to do so under—
260_2019_047863 -              No credit or refund shall be allowed or paid with respect to any tax properly deducted |||and withheld under this chapter unless||| the beneficial owner of the payment provides the Secretary such information as the Secretary may re
200_2019_020987 -  any private nonprofit agency, institution, or organization to use any funds derived from any State |||or local sources for any purpose, unless||| constitutionally required, for which Federal funds appropriated to carry out any applicable program
070_2019_029873 - h respect to such violation, and the order of the Secretary assessing a penalty or imposing a cease |||and desist order shall be final and conclusive unless||| the affected person files an appeal from the Secretary's order with the appropriate United States c
150_2019_021545 - or related material that the Commission determines is not in conformity with an applicable standard |||or rule under this chapter, unless||| the importing country has notified the Commission that such country accepts the importation of such
110_2019_000906 -  documents as required by this title or the court without substantial excuse (but mere inadvertence |||or negligence shall not be substantial excuse unless||| the dismissal was caused by the negligence of the debtor's attorney), failed to provide adequate pr
340_2019_003940 - nt juveniles housed in secure juvenile detention and correction facilities, during labor, delivery, |||and post-partum recovery, unless||| credible, reasonable grounds exist to believe the detainee presents an immediate and serious threat
260_2019_048836 - tion shall be allowed under this section for the interest which passes or has passed to the person, |||or for the use, described in subsection (a) unless|||—
260_2019_028589 -         An election under this section shall be effective for the taxable year for which it is made |||and for all subsequent taxable years, unless||| the taxpayer secures the consent of the Secretary to the revocation of such election.
120_2019_035529 - er of the Currency or the Board of Governors, as appropriate, according to the terms of the interim |||or final regulation, unless||| modified, terminated, set aside, or superseded in accordance with applicable law by the Office of t
480_2019_001107 - uorum. The chief judge of the district court shall be the presiding judge of the appellate division |||and shall preside therein unless||| disqualified or otherwise unable to act. The other judges who are to sit in the appellate division 
100_2019_019107 - er into a memorandum of understanding (or other formal agreement) to conduct a cooperative research |||and development project under this section unless||| the Secretary determines that the proposed project will improve, through the application of emergin
460_2019_007707 -                                                                  As used in subchapters A through C |||and this subchapter, unless||| the context otherwise requires:
420_2019_089380 - aggrieved before the expiration of sixty days after proceedings have been commenced under the State |||or local law, unless||| such proceedings have been earlier terminated, provided that such sixty-day period shall be extende
070_2019_004913 - e requirements for notices of intent and proposed and final forms of regulation may not be modified |||or waived unless||| in addition to meeting the requirements of {ref} or subsection (a) of this section, as applicable, 
100_2019_029657 - d the appraisal shall be sent to the court in which proceedings are to be had. Property so surveyed |||and appraised, unless||| appropriated for the use of the United States, shall be sold under authority of the commanding offi
100_2019_007430 - a facie evidence of his intent to defraud or deceive and of his knowledge of insufficient funds in, |||or credit with, that bank or other depository, unless||| the maker or drawer pays the holder the amount due within five days after receiving notice, orally 
150_2019_000255 - ll become final on the expiration of thirty days from the time such order of the commission, board, |||or Secretary was rendered, unless||| within such thirty days either party has instituted proceedings to have such order corrected so tha
330_2019_005128 - ll be insufficient, inadequate, or unsuitable for public use, including the ecological preservation |||and recreational use of surface water bodies, unless||| effluents from publicly-owned treatment works after adequate treatment are returned to the ground w
150_2019_000104 -                                                                        Sections 15c, 15d, 15e, 15f, |||and 15g of this title shall apply in any State, unless||| such State provides by law for its nonapplicability in such State.
140_2019_001464 - h that officer completes seven years of combined service in the grades of rear admiral (lower half) |||and rear admiral, unless||| that officer is selected for or serving in the grade of admiral or vice admiral or the position of 
150_2019_021437 - with chapter 7 of title 5 and to grant appropriate relief as provided in such chapter. The standard |||or regulation shall not be affirmed unless||| the findings required by the first sentence of subsection (b) are supported by substantial evidence
370_2019_002609 -                                                    (B) is accompanied by the member's dependents at |||or near that duty station (unless||| the member's only dependents are in the category of dependent described in paragraph (2)); and
050_2019_012823 -                                             (b) A plan under this section may not be contracted for |||or approved unless||| it—
420_2019_150780 -                                                  (iii) prohibition of the use of physical restraint |||and seclusion for such an individual unless||| absolutely necessary to ensure the immediate physical safety of the individual or others, and prohi
120_2019_037632 - eld in the Federal judicial district or in the territory in which the residence or principal office |||or place of business of the person is located unless||| the person consents to another place, and shall be conducted in accordance with the provisions of c
260_2019_051107 - ich such findings were made, for any 12-month period ending on October 31 pursuant to paragraph (1) |||or (2) unless|||, after reasonable notice and opportunity for hearing to the State agency, the Secretary of Labor fi
420_2019_102982 - force any standard applicable to noise emissions resulting from the operation of the same equipment |||or facility of such carrier unless||| such standard is identical to a standard applicable to noise emissions resulting from such operatio
210_2019_013553 -                                                                           (10) if it purports to be |||or is represented for special dietary uses unless||| its label bears such information concerning its vitamin, mineral, and other dietary properties as t
120_2019_000011 - the Currency shall be appointed by the President, by and with the advice and consent of the Senate, |||and shall hold his office for a term of five years unless||| sooner removed by the President, upon reasons to be communicated by him to the Senate.
250_2019_012961 -  not deny a guarantee under this section on the basis of the proposed repayment period for the note |||or other obligation, unless|||—
120_2019_027030 -                          A declaration filed pursuant to {ref} and in accordance with sections 4202 |||and 4203 of this title is valid unless|||—
260_2019_066093 -                  No credit or refund of any amount to which subsection (a) applies shall be allowed |||or made unless||| a claim therefor has been filed by the person who paid the amount claimed, and unless such claim is
290_2019_003072 - ent with the unique strengths, resources, priorities, concerns, abilities, capabilities, interests, |||and informed choice of the individual) unless||| the designated State unit involved can demonstrate by clear and convincing evidence that such indiv
150_2019_013865 -            (iv) represent that it will supply the product of a domestic small business manufacturer |||or processor, unless||| a waiver of such requirement is granted—
420_2019_069336 - other shall also serve as the identification number of the child, and all claims shall be submitted |||and paid under such number (unless||| the State issues a separate identification number for the child before such period expires). Notwit
150_2019_010244 - n any form of insurance business; nor engage in, nor be formed to engage in, the business of owning |||or operating any vessel, unless||| the controlling interest in such corporation is owned by citizens of the United States, within the 
420_2019_024398 -                                            (C) for any person to introduce into commerce any solder |||or flux that is not lead free unless||| the solder or flux bears a prominent label stating that it is illegal to use the solder or flux in 
420_2019_073224 -          Not later than January 1, 2007, the information shall be submitted under subparagraphs (A) |||and (B)(ii) using National Drug Code codes unless||| the Secretary specifies that an alternative coding system should be used.
260_2019_043401 - ies from the sale or exchange of any security shall in no event be considered as gain from the sale |||or exchange of a capital asset unless|||—
260_2019_030878 - all not be considered to be operated in connection with any organization described in paragraph (1) |||or (2) of subsection (a) unless||| such organization meets the following requirements:
420_2019_025356 -                 The funds under this section shall not be used for the acquisition of real property |||or interests therein, unless||| the acquisition is integral to a project authorized by this paragraph and the purchase is from a wi
150_2019_007285 -  allegation made in a judicial or administrative hearing, in a governmental report, hearing, audit, |||or investigation, or from the news media, unless||| the whistleblower is a source of the information.
290_2019_001181 - May 14, 1947, the action shall not be barred by paragraph (b) if it is commenced within one hundred |||and twenty days after May 14, 1947 unless||| at the time commenced it is barred by an applicable State statute of limitations;
070_2019_004842 - he Solid Waste Disposal Act ({ref}) shall not be subject to the provisions of subsections (a), (e), |||and (f), unless||| the Administrator determines that such product must be subject to such provisions to prevent an unr
220_2019_015978 -       Notwithstanding any other provision of law, a claim may not be considered under this subpart, |||or an action for damages lie thereon, unless|||, prior to the departure from the Panama Canal of the vessel involved—
290_2019_000406 - ce, the duty to bargain collectively shall also mean that no party to such contract shall terminate |||or modify such contract, unless||| the party desiring such termination or modification—
150_2019_013767 - itten decision on the Administrator's request for reconsideration has been issued by such Secretary |||or agency head, unless||| such officer makes a written determination that urgent and compelling circumstances which significa
420_2019_001346 -                                                                                        (1) No grant |||or contract may be made under {ref} unless||| an application therefor has been submitted to the Secretary in such form and manner, and containing
150_2019_029381 -                                                        relating to a risk of cancer, birth defects, |||or gene mutations from a consumer product unless||| a Chronic Hazard Advisory Panel, established under {ref}, has, in accordance with paragraph (2), su
290_2019_000383 - ovided in {ref}, in the appropriate collective-bargaining unit covered by such agreement when made, |||and (ii) unless||| following an election held as provided in {ref} within one year preceding the effective date of suc
